细分二级品类,日期,产品,成交量,最高价,最低价
HDPE中空料,2024/8/5,5502A|中海壳牌,27,7990,7990
HDPE中空料,2024/8/5,5502BN|中化泉州,10,7870,7870
HDPE中空料,2024/8/5,5502BN|雪佛龙菲利普斯,5,8450,8450
HDPE中空料,2024/8/5,5502FA|上海赛科,21,8150,8150
HDPE中空料,2024/8/5,5502GD|中科炼化,107.936,7775,7725
HDPE中空料,2024/8/5,5502S|延长榆能化,68,8005,8005
HDPE中空料,2024/8/5,5502S|浙江石化,27,7930,7930
HDPE中空料,2024/8/5,5502|中科炼化,27,7850,7850
HDPE中空料,2024/8/5,HD5403.AS(AS55-003)|埃克森,24.75,8050,8050
HDPE中空料,2024/8/6,5502LW|茂名石化,54,7900,7900
HDPE中空料,2024/8/6,5502S|浙江石化,27,7920,7920
HDPE中空料,2024/8/6,5502ZK|中科炼化,33,7850,7850
HDPE中空料,2024/8/6,5502|中科炼化,54,7900,7820
HDPE中空料,2024/8/6,5621D|中海壳牌,27,8130,8130
HDPE中空料,2024/8/7,5021X|中海壳牌,108,7800,7770
HDPE中空料,2024/8/7,5502A|中海壳牌,159,8140,7950
HDPE中空料,2024/8/7,5502BN|雪佛龙菲利普斯,5,8450,8450
HDPE中空料,2024/8/7,5502|中科炼化,54,7820,7760
HDPE中空料,2024/8/8,5021X|中海壳牌,27,7770,7770
HDPE中空料,2024/8/8,5502A|中海壳牌,27,7860,7860
HDPE中空料,2024/8/8,5502LW|茂名石化,10.5,7930,7930
HDPE中空料,2024/8/8,5502S|浙江石化,27,7960,7960
HDPE中空料,2024/8/8,5502|中科炼化,54,7830,7775
HDPE中空料,2024/8/8,HXM50100S|中化泉州,33,7950,7950
HDPE中空料,2024/8/8,Q50100|卡塔尔石化,9,9000,9000
HDPE中空料,2024/8/9,1652TR|俄罗斯西布尔,49.5,7610,7610
HDPE中空料,2024/8/9,5421B|中海壳牌,33,8000,7980
HDPE中空料,2024/8/9,5502A|中海壳牌,15,7920,7910
HDPE中空料,2024/8/9,5502BN|雪佛龙菲利普斯,46.75,7930,7930
HDPE中空料,2024/8/12,5421B|中海壳牌,5,7930,7930
HDPE中空料,2024/8/12,5502A|中海壳牌,27,7860,7860
HDPE中空料,2024/8/12,5502BN|中化泉州,37,7750,7720
HDPE中空料,2024/8/12,5502LW|茂名石化,34.5,7920,7840
HDPE中空料,2024/8/12,5502S|浙江石化,54,7900,7870
HDPE中空料,2024/8/12,5502|中科炼化,81,7850,7790
HDPE中空料,2024/8/13,5021X|中海壳牌,27,7800,7800
HDPE中空料,2024/8/13,5502LW|茂名石化,27,7860,7860
HDPE中空料,2024/8/13,5502S|延长榆能化,34,7885,7885
HDPE中空料,2024/8/13,5502|中科炼化,21.5,7830,7820
HDPE中空料,2024/8/13,TR571|卡塔尔石化,25.5,8650,8650
HDPE中空料,2024/8/14,5421B|中海壳牌,27,8030,8030
HDPE中空料,2024/8/14,5502A|中海壳牌,118.5,8000,7880
HDPE中空料,2024/8/14,5502LW|茂名石化,5,7980,7980
HDPE中空料,2024/8/14,5502S|浙江石化,27,7910,7910
HDPE中空料,2024/8/15,5021X|中海壳牌,27,7700,7700
HDPE中空料,2024/8/15,5502LW|茂名石化,10.5,7940,7940
HDPE中空料,2024/8/15,5502S|浙江石化,27,7900,7900
HDPE中空料,2024/8/15,5502|中科炼化,81,7790,7735
HDPE中空料,2024/8/16,5502A|中海壳牌,27,7880,7880
HDPE中空料,2024/8/16,5502LW|茂名石化,27,7940,7940
HDPE中空料,2024/8/16,5502S|延长榆能化,34,7830,7830
HDPE中空料,2024/8/16,5502|中科炼化,46.5,7800,7740
HDPE中空料,2024/8/19,5021X|中海壳牌,27,7700,7700
HDPE中空料,2024/8/19,5421B|中海壳牌,27,7970,7970
HDPE中空料,2024/8/19,5502A|中海壳牌,27,7950,7950
HDPE中空料,2024/8/19,5502BN|中化泉州,10,7740,7740
HDPE中空料,2024/8/19,5502BN|雪佛龙菲利普斯,4.125,8350,8350
HDPE中空料,2024/8/19,5502|中科炼化,81,7830,7775
HDPE中空料,2024/8/19,BL3|伊朗石化,30.25,8200,8200
HDPE中空料,2024/8/19,HD5403.AS(AS55-003)|埃克森,13.75,8030,8030
HDPE中空料,2024/8/20,5502A|中海壳牌,27,7820,7820
HDPE中空料,2024/8/20,5502S|延长榆能化,10,7880,7880
HDPE中空料,2024/8/20,5502S|浙江石化,27,7900,7900
HDPE中空料,2024/8/20,5502|中科炼化,81,7780,7780
HDPE中空料,2024/8/21,5502A|中海壳牌,33,7970,7840
HDPE中空料,2024/8/21,5502BN|雪佛龙菲利普斯,24.75,7880,7880
HDPE中空料,2024/8/21,5502FA|上海赛科,10.5,8060,8060
HDPE中空料,2024/8/21,5502S|浙江石化,27,7870,7870
HDPE中空料,2024/8/21,5502|中科炼化,10.5,7800,7800
HDPE中空料,2024/8/22,5502A|中海壳牌,32,7880,7870
HDPE中空料,2024/8/22,5502BN|雪佛龙菲利普斯,49.5,7850,7850
HDPE中空料,2024/8/22,5502|中科炼化,27,7780,7780
HDPE中空料,2024/8/22,BL3|伊朗石化,24.75,7980,7980
HDPE中空料,2024/8/22,HHM5502LW-FP|茂名石化,27,7565,7565
HDPE中空料,2024/8/23,5502BN|中化泉州,25.5,7770,7770
HDPE中空料,2024/8/23,5502LW|茂名石化,27,7860,7860
HDPE中空料,2024/8/23,5502S|延长榆能化,34,7795,7795
HDPE中空料,2024/8/23,5502S|浙江石化,27,7900,7900
HDPE中空料,2024/8/23,5502ZK|中科炼化,54,7795,7780
HDPE中空料,2024/8/23,5502|中科炼化,30,7820,7820
HDPE中空料,2024/8/23,HXM50100S|中化泉州,30,7790,7790
HDPE中空料,2024/8/26,5021X|中海壳牌,54,7700,7700
HDPE中空料,2024/8/26,5502A|中海壳牌,133.5,8060,7830
HDPE中空料,2024/8/26,5502BN|雪佛龙菲利普斯,23.375,7900,7900
HDPE中空料,2024/8/26,5502GD|茂名石化,135,7655,7610
HDPE中空料,2024/8/26,5502S|延长榆能化,34,7785,7785
HDPE中空料,2024/8/26,5502S|浙江石化,27,7850,7850
HDPE中空料,2024/8/26,5502|中科炼化,81,7850,7800
HDPE中空料,2024/8/26,OFFGRADE|布拉斯科,25,7690,7690
HDPE中空料,2024/8/27,5502A|中海壳牌,27,7880,7880
HDPE中空料,2024/8/27,5502S|浙江石化,27,8020,8020
HDPE中空料,2024/8/27,5502|中科炼化,108,7850,7800
HDPE中空料,2024/8/27,HD5403.AS(AS55-003)|埃克森,24.75,7950,7950
HDPE中空料,2024/8/28,5502A|中海壳牌,32,7900,7880
HDPE中空料,2024/8/28,5502LW|茂名石化,27,7950,7950
HDPE中空料,2024/8/28,5502|中科炼化,60,7840,7760
HDPE中空料,2024/8/28,5502|独山子石化,19,8030,8030
HDPE中空料,2024/8/28,5621D|中海壳牌,54,8090,8090
HDPE中空料,2024/8/28,B53-35H-011|中海壳牌,27,7930,7930
HDPE中空料,2024/8/29,50100|中化泉州,27,7750,7750
HDPE中空料,2024/8/29,5421B|中海壳牌,54,7980,7980
HDPE中空料,2024/8/29,5502A|中海壳牌,25.5,8060,8060
HDPE中空料,2024/8/29,5502LW|茂名石化,32,7900,7850
HDPE中空料,2024/8/29,5502S|延长榆能化,34,7830,7830
HDPE中空料,2024/8/29,5502|中科炼化,6,7820,7820
HDPE中空料,2024/8/29,6200|广东石化,25.5,7780,7780
HDPE中空料,2024/8/29,TR580M-GD|茂名石化,27,7995,7995
HDPE中空料,2024/8/30,5502|中科炼化,42,7800,7770
HDPE中空料,2024/8/30,5621D|中海壳牌,27,8000,8000
HDPE中空料,2024/9/2,50100|中化泉州,25.5,7790,7790
HDPE中空料,2024/9/2,5502A|中海壳牌,54,7820,7820
HDPE中空料,2024/9/2,5502BN|卡塔尔石化,25.5,7980,7980
HDPE中空料,2024/9/2,5502GD|茂名石化,27,7685,7685
HDPE中空料,2024/9/2,5502LW|茂名石化,7.5,7880,7870
HDPE中空料,2024/9/2,5502S|延长榆能化,68,7830,7830
HDPE中空料,2024/9/2,5502|中科炼化,150,7800,7730
HDPE中空料,2024/9/2,6200|广东石化,30,7760,7760
HDPE中空料,2024/9/3,5502A|中海壳牌,108,7940,7940
HDPE中空料,2024/9/3,5502BN|中化泉州,10,7800,7800
HDPE中空料,2024/9/3,5502LW|茂名石化,34.5,7840,7810
HDPE中空料,2024/9/3,5502S|延长榆能化,34,7830,7830
HDPE中空料,2024/9/3,5502S|浙江石化,54,7900,7880
HDPE中空料,2024/9/3,5502|中科炼化,54,7760,7720
HDPE中空料,2024/9/4,5502A|中海壳牌,27,7800,7800
HDPE中空料,2024/9/4,5502BN|中化泉州,31.5,7800,7750
HDPE中空料,2024/9/4,5502BN|雪佛龙菲利普斯,60.5,8150,7860
HDPE中空料,2024/9/4,5502LW|茂名石化,46.5,7800,7760
HDPE中空料,2024/9/4,5502S|浙江石化,27,7830,7830
HDPE中空料,2024/9/4,5502ZK|中科炼化,12,7700,7700
HDPE中空料,2024/9/4,5502|中科炼化,189,7710,7650
HDPE中空料,2024/9/5,5502A|中海壳牌,33,7830,7830
HDPE中空料,2024/9/5,5502BN|中化泉州,25.5,7850,7850
HDPE中空料,2024/9/5,5502LW|茂名石化,54,7720,7710
HDPE中空料,2024/9/5,5502S|浙江石化,54,7800,7800
HDPE中空料,2024/9/5,5502|中科炼化,81,7670,7650
HDPE中空料,2024/9/5,B53-35H-011|中海壳牌,27,7800,7800
HDPE中空料,2024/9/6,5502A|中海壳牌,5.5,7800,7800
HDPE中空料,2024/9/6,5502LW|茂名石化,20,7720,7720
HDPE中空料,2024/9/6,5502S|浙江石化,27,7825,7825
HDPE中空料,2024/9/6,5502|中科炼化,258,7800,7630
HDPE中空料,2024/9/9,50100|中化泉州,27,7800,7800
HDPE中空料,2024/9/9,5502A|中海壳牌,6,7880,7880
HDPE中空料,2024/9/9,5502LW|茂名石化,82.5,7760,7720
HDPE中空料,2024/9/9,5502S|延长榆能化,34,7730,7730
HDPE中空料,2024/9/9,5502S|浙江石化,54,7770,7770
HDPE中空料,2024/9/9,5502|中科炼化,54,7620,7620
HDPE中空料,2024/9/10,5502A|中海壳牌,108,7930,7930
HDPE中空料,2024/9/10,5502LW|茂名石化,5,7750,7750
HDPE中空料,2024/9/10,5502|中科炼化,172.5,7670,7580
HDPE中空料,2024/9/10,BL3|伊朗石化,24.75,7700,7700
HDPE中空料,2024/9/11,5502LW|茂名石化,36,7730,7680
HDPE中空料,2024/9/11,5502S|延长榆能化,34,7700,7700
HDPE中空料,2024/9/11,5502|中科炼化,27,7580,7580
HDPE中空料,2024/9/11,6200|广东石化,30,7590,7590
HDPE中空料,2024/9/12,5502A|中海壳牌,66,7800,7740
HDPE中空料,2024/9/12,5502LW|茂名石化,81,7740,7710
HDPE中空料,2024/9/12,5502S|延长榆能化,34,7680,7680
HDPE中空料,2024/9/12,5502S|浙江石化,27,7770,7770
HDPE中空料,2024/9/12,5502|中科炼化,90,7670,7560
HDPE中空料,2024/9/12,B53-35H-011|中海壳牌,27,7830,7830
HDPE中空料,2024/9/12,HD5403.AS(AS55-003)|埃克森,24.75,7870,7870
HDPE中空料,2024/9/13,50100|雪佛龙菲利普斯,11,8230,8230
HDPE中空料,2024/9/13,5421B|中海壳牌,10.5,7920,7920
HDPE中空料,2024/9/13,5502BN|卡塔尔石化,25.5,7880,7880
HDPE中空料,2024/9/13,5502LW|茂名石化,3,7730,7730
HDPE中空料,2024/9/13,5502|中科炼化,27,7600,7600
HDPE中空料,2024/9/14,5421B|中海壳牌,3,7900,7900
HDPE中空料,2024/9/14,5502LW|茂名石化,27,7680,7680
HDPE中空料,2024/9/14,5502ZK|中科炼化,27,7530,7530
HDPE中空料,2024/9/18,5421B|中海壳牌,30,8000,8000
HDPE中空料,2024/9/18,5502A|中海壳牌,172.5,7900,7790
HDPE中空料,2024/9/18,5502BN|中化泉州,10.5,7700,7700
HDPE中空料,2024/9/18,5502GD|茂名石化,54,7525,7485
HDPE中空料,2024/9/18,5502S|浙江石化,81,7810,7700
HDPE中空料,2024/9/18,5502ZK|中科炼化,54,7570,7570
HDPE中空料,2024/9/18,5502|中科炼化,84,7660,7630
HDPE中空料,2024/9/18,TR580M-GD|茂名石化,27,7765,7765
HDPE中空料,2024/9/19,5421B|中海壳牌,54,7935,7845
HDPE中空料,2024/9/19,5502A|中海壳牌,25.5,7930,7930
HDPE中空料,2024/9/19,5502S|延长榆能化,33,7580,7580
HDPE中空料,2024/9/19,5502ZK|中科炼化,54,7590,7550
HDPE中空料,2024/9/19,5502|中科炼化,141,7630,7550
HDPE中空料,2024/9/19,5621D|中海壳牌,108,7870,7870
HDPE中空料,2024/9/19,TR580M-GD|茂名石化,54,7765,7765
HDPE中空料,2024/9/20,50100|雪佛龙菲利普斯,11,8200,8200
HDPE中空料,2024/9/20,5502A|中海壳牌,32,7830,7770
HDPE中空料,2024/9/20,5502LW|茂名石化,9,7690,7690
HDPE中空料,2024/9/20,5502S|宁夏宝丰,34,7550,7550
HDPE中空料,2024/9/20,5502ZK|中科炼化,27,7580,7580
HDPE中空料,2024/9/20,5502|中科炼化,27,7600,7600
HDPE中空料,2024/9/23,5421B|中海壳牌,30,8160,8160
HDPE中空料,2024/9/23,5502A|中海壳牌,102,7770,7750
HDPE中空料,2024/9/23,5502LW|茂名石化,33,7690,7650
HDPE中空料,2024/9/23,5502S|延长榆能化,66,7735,7530
HDPE中空料,2024/9/23,5502|中科炼化,204,7600,7550
HDPE中空料,2024/9/23,5502|独山子石化,20,8020,8020
HDPE中空料,2024/9/23,6200|广东石化,33,7560,7560
HDPE中空料,2024/9/23,BL3|伊朗石化,24.75,7796,7796
HDPE中空料,2024/9/24,5502A|中海壳牌,55.5,7930,7770
HDPE中空料,2024/9/24,5502BN|卡塔尔石化,12,7950,7950
HDPE中空料,2024/9/24,5502S|延长榆能化,34,7485,7485
HDPE中空料,2024/9/24,5502S|浙江石化,27,7740,7740
HDPE中空料,2024/9/24,5502|中科炼化,108,7550,7520
HDPE中空料,2024/9/24,5621D|中海壳牌,27,7870,7870
HDPE中空料,2024/9/24,Q50100|卡塔尔石化,25.5,8500,8500
HDPE中空料,2024/9/25,50100|中化泉州,18,7950,7950
HDPE中空料,2024/9/25,5502A|中海壳牌,6,7800,7800
HDPE中空料,2024/9/25,5502S|延长榆能化,32,7750,7750
HDPE中空料,2024/9/25,5502S|浙江石化,54,7750,7700
HDPE中空料,2024/9/25,5502|中科炼化,214.5,7900,7580
HDPE中空料,2024/9/26,50100Y|延长榆能化,34,7570,7570
HDPE中空料,2024/9/26,5502A|中海壳牌,27,7730,7730
HDPE中空料,2024/9/26,5502BN|中化泉州,27,7700,7700
HDPE中空料,2024/9/26,5502LW|茂名石化,27,7730,7730
HDPE中空料,2024/9/26,5502ZK|中科炼化,27,7650,7650
HDPE中空料,2024/9/26,5502|中科炼化,60,7670,7600
HDPE中空料,2024/9/26,B53-35H-011|中海壳牌,27,7800,7800
HDPE中空料,2024/9/27,5502A|中海壳牌,102,7950,7950
HDPE中空料,2024/9/27,5502FA|上海赛科,5,8180,8180
HDPE中空料,2024/9/27,5502ZK|中科炼化,54,7680,7650
HDPE中空料,2024/9/27,5502|中科炼化,135,7680,7580
HDPE中空料,2024/9/27,OFFGRADE|布拉斯科,74.25,7450,7450
HDPE中空料,2024/9/29,5421B|中海壳牌,30,8490,8490
HDPE中空料,2024/9/29,5502A|中海壳牌,81,7820,7820
HDPE中空料,2024/9/29,5502S|延长榆能化,34,7510,7510
HDPE中空料,2024/9/29,5502S|浙江石化,54,7780,7780
HDPE中空料,2024/9/29,5502ZK|中科炼化,27,7730,7730
HDPE中空料,2024/9/29,B5502|印度信诚,26.6,7570,7570
HDPE中空料,2024/9/29,BL3|伊朗石化,25.5,7860,7860
HDPE中空料,2024/9/30,5502A|中海壳牌,27,7890,7890
HDPE中空料,2024/9/30,5502LW|茂名石化,27,7800,7800
HDPE中空料,2024/9/30,5502S|延长榆能化,34,7540,7540
HDPE中空料,2024/9/30,5502|中科炼化,27,7750,7750
HDPE中空料,2024/10/8,50100|雪佛龙菲利普斯,11,8400,8400
HDPE中空料,2024/10/8,5502LW|茂名石化,96,8100,8080
HDPE中空料,2024/10/8,5502S|延长榆能化,78,8012,7650
HDPE中空料,2024/10/8,BC50-100|埃克森,49.5,8600,8450
HDPE中空料,2024/10/8,HD5403.AS(AS55-003)|埃克森,8.25,8300,8300
HDPE中空料,2024/10/9,5502A|中海壳牌,33,8170,7820
HDPE中空料,2024/10/9,5502BN|雪佛龙菲利普斯,24.75,8000,8000
HDPE中空料,2024/10/9,5502LW|茂名石化,54,8000,7960
HDPE中空料,2024/10/9,5502S|延长榆能化,33,7940,7940
HDPE中空料,2024/10/9,5502S|浙江石化,54,8020,8020
HDPE中空料,2024/10/9,5502|中科炼化,54,7940,7900
HDPE中空料,2024/10/9,B53-35H-011|中海壳牌,27,8050,8050
HDPE中空料,2024/10/10,5502LW|茂名石化,27,8055,8055
HDPE中空料,2024/10/10,5502S|延长榆能化,68,7855,7810
HDPE中空料,2024/10/10,5502S|浙江石化,27,8020,8020
HDPE中空料,2024/10/10,5502|中科炼化,37.5,7950,7930
HDPE中空料,2024/10/10,HXM50100S|中化泉州,30,8570,8570
HDPE中空料,2024/10/11,5502A|中海壳牌,27,8080,8080
HDPE中空料,2024/10/11,5502BN|卡塔尔石化,25.5,8130,8130
HDPE中空料,2024/10/11,5502LW|茂名石化,18,8000,8000
HDPE中空料,2024/10/11,5502S|延长榆能化,54,7911.9,7810
HDPE中空料,2024/10/11,HD5403.AS(AS55-003)|埃克森,24.75,8250,8250
HDPE中空料,2024/10/12,5421B|中海壳牌,15,8970,8970
HDPE中空料,2024/10/12,5502BN|卡塔尔石化,135,8170,8140
HDPE中空料,2024/10/12,5502S|宁夏宝丰,34,7810,7810
HDPE中空料,2024/10/14,5421B|中海壳牌,10.5,9130,9130
HDPE中空料,2024/10/14,5502A|中海壳牌,12,8080,8080
HDPE中空料,2024/10/14,5502LW|茂名石化,27,8040,8040
HDPE中空料,2024/10/14,5502S|延长榆能化,10,7911.9,7911.9
HDPE中空料,2024/10/14,5502|中科炼化,27,7950,7950
HDPE中空料,2024/10/14,HB0035|伊朗石化,24.75,7920,7920
HDPE中空料,2024/10/14,HXM50100S|中化泉州,30,8750,8750
HDPE中空料,2024/10/14,TR571|卡塔尔石化,9,8750,8750
HDPE中空料,2024/10/15,50100P|沙特聚合物,31.625,9000,9000
HDPE中空料,2024/10/15,50100|雪佛龙菲利普斯,1.875,8880,8880
HDPE中空料,2024/10/15,5502BN|卡塔尔石化,51,8300,8300
HDPE中空料,2024/10/15,5502BN|雪佛龙菲利普斯,5.5,8350,8350
HDPE中空料,2024/10/15,5502GD|中科炼化,27,7745,7745
HDPE中空料,2024/10/15,5502LW|茂名石化,5.975,7950,7950
HDPE中空料,2024/10/15,5502S|浙江石化,27,8030,8030
HDPE中空料,2024/10/15,5502|中科炼化,56,7960,7950
HDPE中空料,2024/10/15,5621D|中海壳牌,10,8850,8850
HDPE中空料,2024/10/15,5831D|辽宁宝来,30,7880,7880
HDPE中空料,2024/10/15,HB0035|伊朗石化,24.75,7830,7830
