系列,牌号,销售区域,部门,销售,公司名称,近三年牌号成交规模,公司类型,制成品,行业,细分行业,用料,使用品类,使用二级品类,月用量,是否授信,冻结原因,授信期限,授信区间,快塑贷授信额度,快塑贷在贷余额,保险额度,第三方预授信额度,第三方激活额度,第三方已用额度,第三方预授信明细,第三方激活明细,复购率,最近成交日期,公司规模,近一年公司渗透率,近一年公司品类渗透率,近一年成交品类数,近一年成交品类,crm是否有期货用料,近一年是否有期货订单,是否代采客户,黑名单状态,近30天上线天数,当月上线天数,是否绑定企微,近一年快塑贷逾期率,近一年最长逾期天数,近一年最长逾期天数区间,近一年平均逾期天数,近一年平均逾期天数区间,是否使用美金支付,是否使用手册核销
6碳线性Dowlex系列,2607G,快塑华南,交易服务4部-广州,杨景华,佛山市耐锢塑料机械有限公司,,终端,共挤膜/多层包装膜（工业类）,软包装,工业,"HDPE拉丝料-5000S|大庆石化,HDPE拉丝料-6094|延长榆能化,HDPE膜料-5121B|中海壳牌,HDPE膜料-6888|科威特,LDPE膜料-0274|卡塔尔石化,LDPE膜料-0474|卡塔尔石化,LDPE膜料-1020FS040|印度信诚,LDPE膜料-151BW|埃克森,LDPE膜料-2023NN|沙特SABIC,LDPE膜料-2420H|伊朗石化,LDPE膜料-2426H|中海壳牌,LDPE膜料-2426H|浙江石化,LDPE膜料-2426H|烟台万华,LDPE膜料-2426K|茂名石化,LDPE膜料-582E|陶氏,LDPE膜料-6236|北欧化工,LDPE膜料-7236|北欧化工,LDPE膜料-EF9112JM|美国西湖,LDPE膜料-FT6230|北欧化工,LDPE膜料-HP2023JN|沙特SABIC,LDPE膜料-HP2025JN|沙特SABIC,LDPE膜料-HP4024WN|沙特SABIC,LDPE膜料-J24FS040|印度信诚,LDPE膜料-LD020D|美国CCT,LDPE膜料-LD0220|美国CYNPOL,LDPE重包料-15303|俄罗斯西布尔,LDPE重包料-2420D|泰国PTT,LDPE重包料-2520D|茂名石化,LDPE重包料-310E|陶氏,LLDPE膜料-1050P|陶氏,LLDPE膜料-1220F|泰国SCG,LLDPE膜料-19020|印度信诚,LLDPE膜料-2018.XBU|埃克森,LLDPE膜料-2018.YB|埃克森,LLDPE膜料-20211FE|俄罗斯西布尔,LLDPE膜料-218WJ|沙特SABIC,LLDPE膜料-219ZJ|沙特SABIC,LLDPE膜料-222WT|中沙石化,LLDPE膜料-223G|陶氏,LLDPE膜料-22B02|中东,LLDPE膜料-2607G|陶氏,LLDPE膜料-2645.11G|陶氏,LLDPE膜料-488S|陶氏,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|宝来,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|海南乙烯,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|茂名石化,LLDPE膜料-7050|中煤鄂能化,LLDPE膜料-7050|宝来,LLDPE膜料-7050|抚顺石化,LLDPE膜料-7050|浙江石化,LLDPE膜料-7050|烟台万华,LLDPE膜料-7050|科威特,LLDPE膜料-7052|神华包头,LLDPE膜料-C4LL2018.XBU|埃克森,LLDPE膜料-DFDC-7050|中海壳牌,LLDPE膜料-DFDC-7050|神华包头,LLDPE膜料-DFDC7050K|烟台万华,LLDPE膜料-LL9999SS|埃克森,LLDPE膜料-Q2018H|卡塔尔石化,MLLDPE-1018.RF(1018RF)|埃克森,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1018MA|埃克森,MLLDPE-1018MF(1018.MF)|埃克森,MLLDPE-1018MF|埃克森,MLLDPE-1018RA|埃克森,MLLDPE-1018|兰州石化,MLLDPE-2010HA|独山子石化,MLLDPE-2018HB|独山子石化,MLLDPE-2018RA(2018.RA)|埃克森,MLLDPE-3518CB|独山子石化,MLLDPE-5220G|陶氏,MLLDPE-5401GS|陶氏,MLLDPE-5401G|陶氏,MLLDPE-FK1826|北欧化工,MLLDPE-HPR1018HA|广东石化,MLLDPE-HPR3518CB|广东石化,MLLDPE-M3518.CB|埃克森,MLLDPE-NG5401B|陶氏,MLLDPE-XN9999SS|埃克森,PPHM拉丝料-2832E1|福建联合,PPHM拉丝料-L5E89|中煤榆林,PPHM拉丝料-T03|东华能源","HDPE,LDPE,LLDPE,MLLDPE,PPHM","HDPE拉丝料,HDPE膜料,LDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE,PPHM拉丝料",986,已授信,,30,16-30天,600000,559597.5,600000,3000000,0,2000000,"华兴银行|授信额度:|0|,雨商贷-塑采贷-采购贷|授信额度:|1000000|,京塑条|授信额度:|2000000|,拉卡拉|授信额度:|0|",,二月购,2026-06-18,大客户,8.47%,"LLDPE|月用量|100|渗透率|0.00%|,LLDPE膜料|月用量|700|渗透率|5.73%|,LDPE膜料|月用量|101|渗透率|14.96%|,ABS|月用量|0|渗透率|0.00%|,HDPE膜料|月用量|5|渗透率|45.00%|,PPHM拉丝料|月用量|50|渗透率|9.75%|,PPHM注塑料|月用量|0|渗透率|0.00%|,LDPE|月用量|30|渗透率|0.00%|,MLLDPE|月用量|80|渗透率|26.46%|,LDPE重包料|月用量|30|渗透率|0.00%|,HDPE拉丝料|月用量|20|渗透率|0.00%|",5,"HDPE,LDPE,LLDPE,MLLDPE,PPHM",,无期货订单,非代采客户,正常,未上线,,已绑定,0.7619,21,16-30天,5.8182,1-7天,否,是
6碳线性Dowlex系列,2607G,CPG,CPG华东,徐岳,无锡喝彩包装制品有限公司,,终端,拉伸缠绕膜,软包装,工业,"LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-1802|扬子石化,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2607G|陶氏,LLDPE膜料-7042|中安联合,LLDPE膜料-7042|中煤鄂能化,LLDPE膜料-7042|华泰,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|宝来,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7042|镇海炼化,LLDPE膜料-7420A|泰国PTT,MLLDPE-5220G|陶氏,MLLDPE-SP1520|三井化学","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",600,待风控重审,授信期满冻结,3,1-7天,300000,,0,106800,0,0,京塑条|授信额度:|106800|,,三月购,2026-01-06,大客户,0.69%,"LLDPE膜料|月用量|550|渗透率|0.00%|,MLLDPE|月用量|50|渗透率|8.25%|",1,MLLDPE,,有期货订单,非代采客户,正常,未上线,,已绑定,1,4,1-7天,2.5,1-7天,否,是
6碳线性Dowlex系列,2607G,快塑华东,华东交易2部-上海,高坚鹏-华东,江苏玉米之恋生物降解新材料有限公司,,终端,购物袋/背心袋/零售袋/手提袋/马甲袋,软包装,日用,"HDPE中空料-BL3|伊朗石化,HDPE膜料-5110|伊朗石化,HDPE膜料-6888|科威特,HDPE膜料-7000F|乐天化学,HDPE膜料-7000F|泰国PTT,HDPE膜料-9001|台湾塑胶,HDPE膜料-FJ00952|沙特SABIC,HDPE膜料-HD55110|中化泉州,HDPE膜料-ZH6098|镇海有限,LDPE膜料-2420H|浙江石化,LDPE膜料-2426H|大庆石化,LDPE膜料-2426H|浙江石化,LDPE膜料-2426H|神华新疆,LDPE膜料-2426H|神华榆林,LDPE膜料-HP2023JN|沙特SABIC,LDPE膜料-J1020FS20|印度信诚,LDPE膜料-LD100-PC|中天合创,LLDPE膜料-19020|印度信诚,LLDPE膜料-2018.YB|埃克森,LLDPE膜料-2045.11G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-2607G|陶氏,LLDPE膜料-2645.11G|陶氏,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-7042|中安联合,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|中煤鄂能化,LLDPE膜料-7042|华泰,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|宝来,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|抚顺石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7042|镇海炼化,LLDPE膜料-7042|阿曼,LLDPE膜料-7050|抚顺石化,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-9200EN|韩国大林,MLLDPE-LL1090|泰国PTT,MLLDPE-Y826-D|加拿大NOVA,PPHM拉丝料-L5E89|宁夏宝丰,PPHM拉丝料-S1003|宁夏宝丰,PPHM拉丝料-T30S|河北海伟,PPHM纤维料-S2040|宁夏宝丰","HDPE,LDPE,LLDPE,MLLDPE,PPHM","HDPE中空料,HDPE膜料,LDPE膜料,LLDPE膜料,MLLDPE,PPHM拉丝料,PPHM纤维料",489,已授信,,30,16-30天,600000,,600000,306478.75,0,0,京塑条|授信额度:|306479|,,半年购,2025-09-26,中客户,0.42%,"LDPE膜料|月用量|6|渗透率|0.00%|,LLDPE膜料|月用量|8|渗透率|0.00%|,PPHM拉丝料|月用量|5|渗透率|0.00%|,MLLDPE|月用量|300|渗透率|0.00%|,HDPE膜料|月用量|150|渗透率|1.38%|,HDPE中空料|月用量|10|渗透率|0.00%|,PPHM纤维料|月用量|10|渗透率|0.00%|",1,HDPE,,无期货订单,非代采客户,正常,未上线,,已绑定,1,5,1-7天,5,1-7天,否,是
6碳线性Dowlex系列,2607G,快塑华南,交易服务1部-广州,王小霞,深圳市鑫泰裕包装制品有限公司,,终端,购物袋/背心袋/零售袋/手提袋/马甲袋,软包装,日用,"HDPE拉丝料-7750Z|鲁清石化,HDPE膜料-5110|伊朗石化,HDPE膜料-6095|广东石化,HDPE膜料-6097|兰州石化,HDPE膜料-6888|科威特,HDPE膜料-7000F|伊朗MEHR,HDPE膜料-9255|广东石化,HDPE膜料-EX5|伊朗石化,HDPE膜料-FB1350|北欧化工,HDPE膜料-FJ00952|沙特SABIC,HDPE膜料-HD55110|宁夏宝丰,HDPE膜料-TR144|雪佛龙菲利普斯,LDPE膜料-0474|卡塔尔石化,LDPE膜料-15803-020|托姆斯克,LDPE膜料-15803-020|阿塞拜疆,LDPE膜料-18D|大庆石化,LDPE膜料-1905F|泰国SCG,LDPE膜料-2047A|伊朗石化,LDPE膜料-2102TX00|伊朗石化,LDPE膜料-2119|伊朗石化,LDPE膜料-2408X|中海壳牌,LDPE膜料-2420E02|伊朗石化,LDPE膜料-2420H|伊朗石化,LDPE膜料-2426H|中海壳牌,LDPE膜料-2426H|兰州石化,LDPE膜料-2426H|大庆石化,LDPE膜料-2426H|烟台万华,LDPE膜料-2426H|神华榆林,LDPE膜料-2426K|延长榆能化,LDPE膜料-450E|陶氏,LDPE膜料-951-000|茂名石化,LDPE膜料-951-050|茂名石化,LDPE膜料-HP4023WN|沙特SABIC,LDPE膜料-J24FS040|印度信诚,LLDPE膜料-0209AA|伊朗石化,LLDPE膜料-0209SP|马油,LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-122WJ|沙特SABIC,LLDPE膜料-1820S1|印尼钱德拉阿斯里,LLDPE膜料-1820T|印尼Indorama,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018AY|埃克森,LLDPE膜料-2022.KI(201KI)|福建联合,LLDPE膜料-2045G|陶氏,LLDPE膜料-218NF|福建联合,LLDPE膜料-218NJ|沙特SABIC,LLDPE膜料-218WJ|沙特SABIC,LLDPE膜料-2220BSQ|沙特阿美,LLDPE膜料-222WF|福建联合,LLDPE膜料-22B02|中东,LLDPE膜料-2607G|陶氏,LLDPE膜料-35BN|鲁清石化,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-35H|中韩石化（武汉）,LLDPE膜料-7042H|兰州石化,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|中煤鄂能化,LLDPE膜料-7042|兰化榆林,LLDPE膜料-7042|塔里木,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|宝来,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7042|抚顺石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|海南乙烯,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|福建联合,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7050|中原石化,LLDPE膜料-7050|烟台万华,LLDPE膜料-7050|福建联合,LLDPE膜料-7050|科威特,LLDPE膜料-DFDC-7050|中海壳牌,LLDPE膜料-DFDC-7050|神华包头,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-JF18010|印度信诚,LLDPE膜料-JF18020|印度信诚,LLDPE膜料-JF19010|印度信诚,LLDPE膜料-LF320|布拉斯科,LLDPE膜料-LL6209AA|沙特阿美,LLDPE膜料-Q2018H|卡塔尔石化,LLDPE膜料-Q2018N|卡塔尔石化,MLLDPE-5401G|陶氏,MLLDPE-SP1520|三井化学","HDPE,LDPE,LLDPE,MLLDPE","HDPE拉丝料,HDPE膜料,LDPE膜料,LLDPE膜料,MLLDPE",200,已授信,,7,1-7天,600000,,0,1260826.8,0,0,京塑条|授信额度:|1260827|,,月月购,2026-06-11,小客户,74.62%,"LLDPE|月用量|100|渗透率|0.00%|,LDPE膜料|月用量|60|渗透率|26.34%|,MLLDPE|月用量|0|渗透率|0.00%|,HDPE膜料|月用量|15|渗透率|14.17%|,LLDPE膜料|月用量|115|渗透率|19.67%|,HDPE拉丝料|月用量|0|渗透率|0.00%|,HDPE中空料|月用量|0|渗透率|0.00%|,HDPE注塑料|月用量|0|渗透率|0.00%|,LDPE重包料|月用量|0|渗透率|0.00%|,PPR透明料|月用量|0|渗透率|0.00%|",3,"HDPE,LDPE,LLDPE",有期货用料,无期货订单,代采客户,正常,未上线,,已绑定,0.2745,9,8-15天,0.6842,1-7天,否,否
6碳线性Dowlex系列,2607G,快塑华南,工具组,刘天丰,恒鑫包装(中山)有限公司,,终端,拉伸缠绕膜,软包装,工业,"LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2018.YB|埃克森,LLDPE膜料-2018AY|埃克森,LLDPE膜料-2607G|陶氏,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|宝来,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|抚顺石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|福建联合,LLDPE膜料-7042|茂名石化,MLLDPE-2010MA|埃克森,MLLDPE-5220G|陶氏,MLLDPE-M3518.CB|埃克森,MLLDPE-M3518.PA|埃克森","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",700,已授信,,7,1-7天,300000,,0,,,,,,三月购,2026-04-29,大客户,0.34%,"MLLDPE|月用量|200|渗透率|0.11%|,LLDPE膜料|月用量|500|渗透率|0.43%|",2,"LLDPE,MLLDPE",,无期货订单,非代采客户,正常,未上线,,已绑定,0,0,无逾期,0,无逾期,否,否
6碳线性Dowlex系列,2607G,快塑华南,交易服务2部-广州,冯培业,东莞市福兴包装制品有限公司,,终端,拉伸缠绕膜,软包装,工业,"LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-0218ZF|美国维马,LLDPE膜料-0218Z|美国维马,LLDPE膜料-1002EN|LG化学,LLDPE膜料-1004AY|埃克森,LLDPE膜料-1801Y|中海壳牌,LLDPE膜料-1820|福建联合,LLDPE膜料-18L02|伊库石化,LLDPE膜料-2002A|OPAL石化,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2018.YB|埃克森,LLDPE膜料-2018AY|埃克森,LLDPE膜料-218NF|福建联合,LLDPE膜料-218NJ|沙特SABIC,LLDPE膜料-219NJ|沙特SABIC,LLDPE膜料-22B02|中东,LLDPE膜料-2607G|陶氏,LLDPE膜料-30203|俄罗斯西布尔,LLDPE膜料-7042-FP|海南乙烯,LLDPE膜料-7042-GD|海南乙烯,LLDPE膜料-7042GD|茂名石化,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|广西石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042N协议料|广东石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|内蒙宝丰,LLDPE膜料-7042|华泰,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|宝来,LLDPE膜料-7042|巴聚赋,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|海南乙烯,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|茂名石化,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7042|裕龙石化,LLDPE膜料-7042|阿曼,LLDPE膜料-DFDC-7050|神华包头,LLDPE膜料-F181CH-GD|海南乙烯,LLDPE膜料-JF18020|印度信诚,LLDPE膜料-L2009FA|泰国SCG,LLDPE膜料-LL1060|泰国PTT,LLDPE膜料-Q2018N|卡塔尔石化",LLDPE,LLDPE膜料,300,待风控重审,授信期满冻结,7,1-7天,300000,,0,786515.8,0,0,京塑条|授信额度:|786516|,,月月购,2026-06-02,中客户,22.79%,"LLDPE膜料|月用量|401|渗透率|17.05%|,MLLDPE|月用量|50|渗透率|0.00%|",1,LLDPE,有期货用料,有期货订单,非代采客户,正常,小于5天,,已绑定,0.8846,24,16-30天,10.3846,8-15天,否,是
6碳线性Dowlex系列,2607G,CPG-广州内海,CPG-广州内海,CPG-广州内海1,宁波瑞塑进出口有限公司,,终端,改性料|母料（色母等）,其它|改性产品,其它|母料（色母等）,"HDPE注塑料-62N07|中东,LLDPE膜料-2607G|陶氏,MLLDPE-5500G|陶氏","HDPE,LLDPE,MLLDPE","HDPE注塑料,LLDPE膜料,MLLDPE",30,未授信,,0,未授信,,,0,,,,,,年购,2026-01-29,小客户,6.88%,HDPE注塑料|月用量|30|渗透率|0.00%|,1,LLDPE,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,未知
6碳线性Dowlex系列,2607G,CPG,CPG华南,严威扬,广东顺德百事立新型材料有限公司,,终端,拉伸缠绕膜|通用包装膜/袋,其它|软包装,其它|工业,"LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2607G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|宝来,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|海南乙烯,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|茂名石化,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7042粉|茂名石化,MLLDPE-2012MA|埃克森,MLLDPE-3812CB|埃克森,MLLDPE-5220G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-M3518.CB|埃克森,PET-CR-8863|珠海华润","LLDPE,MLLDPE,PET","LLDPE膜料,MLLDPE,PET",220,待风控重审,授信期满冻结,7,1-7天,300000,,0,67523.66,0,0,京塑条|授信额度:|67524|,,年购,2025-12-26,小客户,0.47%,"LLDPE膜料|月用量|201|渗透率|0.00%|,MLLDPE|月用量|20|渗透率|5.16%|,PET|月用量|1|渗透率|0.00%|",1,MLLDPE,有期货用料,有期货订单,非代采客户,正常,未上线,,已绑定,1,3,1-7天,3,1-7天,否,否
6碳线性Dowlex系列,2607G,CPG,CPG华东,于波,无锡祺杰科技有限公司,,终端,拉伸缠绕膜,软包装,工业,"LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2018AY|埃克森,LLDPE膜料-2607G|陶氏,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7042|镇海炼化,MLLDPE-5220G|陶氏,MLLDPE-5500G|陶氏,MLLDPE-M3518.CB|埃克森,MLLDPE-M3518.PA|埃克森,MLLDPE-SP1520|三井化学","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",1500,未授信,,0,未授信,,,0,,,,,,年购,2026-04-07,大客户,0.19%,"LLDPE膜料|月用量|900|渗透率|0.31%|,MLLDPE|月用量|600|渗透率|0.00%|",1,LLDPE,,无期货订单,非代采客户,正常,未上线,,未绑定,1,8,8-15天,8,8-15天,否,是
6碳线性Dowlex系列,2607G,CPG,CPG华东,王金莹,无锡市荣亿塑料电器有限公司,,终端,波纹软管（洗衣机等）,消费品,工业类,"EVA-V5120J|延长榆能化,EVA-Y2022(14-2)|北京有机,HDPE中空料-5502S|延长榆能化,HDPE拉丝料-5000S优等品|兰州石化,LLDPE膜料-2607G|陶氏,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-7042|中安联合,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|中煤鄂能化,LLDPE膜料-7042|内蒙宝丰,LLDPE膜料-7042|华泰,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|宝来,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7042|裕龙石化,MLLDPE-5220G|陶氏,PPB注塑料-300K-B|延长榆能化,PPB注塑料-K8003|上海赛科,PPB注塑料-K8003|中韩石化（武汉）,PPB注塑料-K8003|宁夏宝丰,PPB注塑料-K8003|延长榆能化,PPB注塑料-K8003|浙江石化,PPB注塑料-K8003|独山子石化,PPB注塑料-K8003|神华榆林,PPB注塑料-PPB-K8003|镇海炼化,PPB注塑料-PPB-M02|镇海炼化,PPB注塑料-SP179|华锦化工,PPHM拉丝料-L5E89|中煤榆林,PPHM拉丝料-L5E89|大连恒力,PPHM拉丝料-PPH-T03|中天合创,PPHM拉丝料-S1003|宁夏宝丰,PPHM拉丝料-S1003|神华新疆,PPHM拉丝料-T30H|东华能源","EVA,HDPE,LLDPE,MLLDPE,PPB,PPHM","EVA,HDPE中空料,HDPE拉丝料,LLDPE膜料,MLLDPE,PPB注塑料,PPHM拉丝料",180,已授信,,15,8-15天,600000,,0,286326.25,0,0,京塑条|授信额度:|286326|,,月月购,2026-06-10,小客户,37.82%,"LLDPE膜料|月用量|60|渗透率|56.15%|,MLLDPE|月用量|50|渗透率|58.50%|,PPCP|月用量|30|渗透率|0.00%|,HDPE拉丝料|月用量|5|渗透率|3.33%|,PPHM拉丝料|月用量|15|渗透率|0.00%|,HDPE中空料|月用量|5|渗透率|8.33%|,LDPE膜料|月用量|0|渗透率|0.00%|,HDPE注塑料|月用量|0|渗透率|0.00%|,EVA|月用量|5|渗透率|8.33%|,PPB注塑料|月用量|40|渗透率|4.17%|,PPHM注塑料|月用量|0|渗透率|0.00%|,PPHM薄壁注塑料|月用量|0|渗透率|0.00%|,TERPP膜料|月用量|0|渗透率|0.00%|",6,"EVA,HDPE,LDPE,LLDPE,MLLDPE,PPB",,有期货订单,非代采客户,正常,未上线,,已绑定,0.2727,3,1-7天,0.3529,1-7天,否,是
